"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 01 00:10:33 GMT 1970","Thu Jan 01 00:04:30 GMT 1970","-363000","","","","","","Standard user login",""
"passed","Thu Jan 01 00:04:32 GMT 1970","Thu Jan 01 00:11:44 GMT 1970","432000","","","","","","Locked out user cannot login",""
"passed","Thu Jan 01 00:02:24 GMT 1970","Thu Jan 01 00:08:27 GMT 1970","363000","","","","","","Username is required to log in",""
"passed","Thu Jan 01 00:08:29 GMT 1970","Thu Jan 01 00:14:07 GMT 1970","338000","","","","","","Password is required",""
